number;name;year;rate
504488;Шина;2010;0.20073960460323882830
17457;Уличный боец;1994;0.95495774515546289140
404346;Берегитесь, красавицы;2008;2.7495877047696083
309328;Фрост против Никсона;2008;1.0970533820460860
306867;Greg & Gentillon;2005;0.00706590562886560097
197134;Жизнь в розовом цвете;2007;3.4509917934303496
568532;Хроники ломбарда;2013;0.00161760000000000000
776;Осмосис Джонс;2001;0.18129213986932537633
4389;Незнакомец;1995;1.0716032808779575
406348;Одержимость;2009;3.4130821922361303
603;Парикмахерская;2002;6.3151757371652706
4809;Пятница;1995;7.8478754679508995
276473;Конца и края нет;2007;0.71665932760095170543
6657;Пиноккио;2002;0.09741671742576479357
402979;День радио;2008;1.4329251146288848
2542;Крутой Джо;2001;0.59925384039759481017
462514;Конец света 2013: Апокалипсис по-голливудски;2013;3.1709438125000000
22459;Беги;1990;0.27558299777338374959
261780;Дом;2007;0.23001919231941588410
87146;Ужин с придурками;2010;1.2522706844401615
466994;Король чёртова острова;2010;0.00085171183342655291
5121;Идальго: Погоня в пустыне;2004;0.67303449703080036543
546203;Медальон;2012;0.17155192028655077672
9218;Огненный лис;1982;2.2242036200476792
581493;Обитель зла: Возмездие;2012;3.6947577872813385
12118;Женщина без правил;1999;0.13372265834565948004
656008;Звери дикого Юга;2012;7.1087485263464108
6151;Четыре свадьбы и одни похороны;1993;11.9774629567626822
88737;Правдивая история Красной Шапки;2005;4.8074881691683874
181274;Гранит науки;2007;0.11915712954344565766
437040;Доброе утро;2010;1.4696295094988875
632;В чужом ряду;2002;1.4848566389958666
34168;Love, Sex and Eating the Bones;2003;0.06530237758587318866
506005;Оз: Великий и Ужасный;2013;2.2944736046511628
256219;Мольер;2007;0.02899503574816923746
256498;Смерть на похоронах;2007;5.1988237377124362
5058;Прерванная жизнь;1999;0.72281614613539146413
178239;November;2005;0.12812381647478145845
568270;Я не знаю, как она делает это;2011;0.40259513701298245905
395107;18-14;2007;0.71157129102783094608
79562;Колдунья;2005;1.54309304358276100746
18519;Поминки;2003;11.0653753026634383
887;Ярды;2000;0.03705633312759886372
373119;Мальчикам это нравится;2008;2.8177176228533629
252502;Без изъяна;2007;0.34097932141328432420
23919;Непобедимый дикарь;1994;1.2301708390279180
4822;Без изъяна;1999;0.29923524062349143732
12513;Везунчик;2007;0.15240866934374898424
577529;Этот неловкий момент;2014;3.2586193750000000
81288;Трансформеры;2007;4.7313985408179926
659;Враг у ворот;2000;0.75590820054376336092
3880;Злые улицы;1973;0.06528968305648627210
63809;Она ненавидит меня;2004;0.04575452635388497381
