date;w00;w03;w06;w09;w12;w15;w18;w21;;;;;;;;;t00;t03;t06;t09;t12;t15;t18;t21;r00;r03;r06;r09;r12;r15;r18;r21;с00;с03;с06;с09;с12;с15;с18;с21
07.08.2010;1;1;1;1;1;1;1;2;;;;;;;;;16;16;26;33;35;34;25;22;;;;;;;;;;;;;;19;9;10
08.08.2010;2;3;4;3;3;4;3;3;;;;;;;;;21;20;24;29;31;30;25;19;;;;;;;;;12;;;;;;6;23
09.08.2010;2;2;2;3;3;3;2;2;;;;;;;;;15;13;18;24;27;26;21;15;;;;;;;;;5;31;81;42;44;6;34;10
10.08.2010;2;3;2;2;1;1;2;3;;;;;;;;;12;12;17;25;30;30;24;21;;;;;;;;;21;;;;;;;
11.08.2010;4;3;4;3;3;2;2;3;;;;;;;;;20;20;25;34;36;36;26;20;;;;;;;1.2;;;;;7;;13;24;53
12.08.2010;3;3;2;3;3;4;3;3;;;;;;;;;20;20;25;34;36;36;29;23;;;;;;;;;58;;;56;;8;15;
13.08.2010;2;2;2;2;3;4;3;2;;;;;;;;;21;19;22;28;30;30;25;19;;;;;;;;;;9;;;;;;
14.08.2010;2;2;3;2;3;3;3;3;;;;;;;;;16;15;18;23;23;25;20;15;;;;;;;;;;;;38;82;42;17;72
15.08.2010;3;2;2;2;2;1;1;2;;;;;;;;;13;11;14;20;24;24;16;14;;;;;;;;;72;93;96;60;59;96;97;95
16.08.2010;2;2;1;3;3;3;3;3;;;;;;;;;13;13;16;22;25;25;20;16;;;;;;;;;100;83;81;51;59;8;;43
17.08.2010;3;3;3;2;3;2;2;2;;;;;;;;;15;14;18;23;21;19;15;11;;;;0.8;1.7;;0.4;;24;89;88;77;66;;13;
18.08.2010;3;2;2;2;2;2;2;4;;;;;;;;;7;4;8;16;20;21;14;12;;;;;;;;;;9;9;12;10;17;37;
19.08.2010;4;5;5;5;6;3;1;3;;;;;;;;;11;13;18;26;30;29;18;18;;;;;;;;0.3;;27;22;29;41;54;24;92
20.08.2010;4;4;4;4;4;1;2;2;;;;;;;;;18;20;22;28;25;23;20;17;;;;2.5;0.9;;;0.7;85;93;100;80;92;76;82;88
21.08.2010;2;1;1;3;3;3;5;4;;;;;;;;;16;14;16;21;20;15;10;7;;0.7;;1.3;2.4;;;1.1;93;88;89;54;33;84;92;63
22.08.2010;3;2;2;2;3;3;3;3;;;;;;;;;5;5;6;12;15;14;11;7;;;3.8;;;;;;47;97;100;64;61;78;89;
23.08.2010;3;2;3;5;5;5;4;3;;;;;;;;;5;4;9;15;16;16;11;9;;;;;;;;;;52;16;80;91;55;58;40
24.08.2010;2;2;3;6;7;6;4;4;;;;;;;;;8;8;12;13;20;22;16;13;;0.6;;0.6;0.4;0.3;;;41;77;78;99;100;12;44;
25.08.2010;4;4;5;6;5;4;1;1;;;;;;;;;11;11;14;16;18;19;11;8;;;;;;;;;;13;;77;90;24;34;26
26.08.2010;2;3;2;4;4;3;4;4;;;;;;;;;9;9;13;20;22;24;19;18;;;;;;;;;20;15;8;66;72;43;38;28
27.08.2010;4;4;4;6;6;4;3;3;;;;;;;;;17;16;19;28;30;29;21;17;;;;;;;;;25;38;83;7;11;12;;18
28.08.2010;2;2;1;1;2;3;3;3;;;;;;;;;15;14;17;17;19;21;17;14;;1.4;;1.1;1.7;;;;25;87;69;54;84;;;81
29.08.2010;2;2;3;5;6;6;4;4;;;;;;;;;12;12;15;23;25;27;22;19;;;;;;;;;68;70;70;34;62;82;99;79
30.08.2010;4;4;4;6;6;4;3;4;;;;;;;;;17;16;18;27;31;32;24;21;0.3;;;;;;;;92;56;77;16;45;;;
31.08.2010;4;4;3;3;4;4;3;2;;;;;;;;;20;18;19;22;24;23;16;12;;;0.3;;;;;;;;;;;;;
01.06.2011;5;6;5;6;8;6;5;5;;;;;;;;;10;9;10;14;15;14;14;12;1.1;2.4;1.8;0.6;0.4;;;;53;75;99;95;48;67;47;42
02.06.2011;5;5;6;6;7;6;5;5;;;;;;;;;11;11;13;15;15;16;15;13;;;;0.5;2.3;1.4;;;19;41;81;87;96;72;14;41
